Team,City,State,Revenue,Population,Income
Atlanta United,Atlanta,GA,47000000,498183,53188
LA Galaxy,Los Angeles,CA,63000000,3977596,63886
Seattle Sounders,Seattle,WA,52000000,742235,74815
Portland Timbers,Portland,OR,48000000,650837,57913
Orlando City SC,Orlando,FL,44000000,285903,43717
Sporting Kansas City,Kansas City,MO,41000000,492012,53484
D.C. United,Washington,DC,26000000,701547,72340
Chicago Fire,Chicago,IL,27000000,2701423,61642
San Jose Earthquakes,San Jose,CA,36000000,1028020,108565
New England Revolution,Boston,MA,28000000,691147,78923
Houston Dynamo,Houston,TX,28000000,2318573,57154
FC Dallas,Dallas,TX,34000000,1341802,56864
Philadelphia Union,Philadelphia,PA,26000000,1583592,64228
Vancouver Whitecaps,Vancouver,BC,22000000,182887,57903
Columbus Crew,Columbus,OH,24000000,890869,40980
Colorado Rapids,Denver,CO,18000000,716265,64690
Minnesota United,Saint Paul,MN,24000000,424903,62914
Montreal Impact,Montreal,QC,24000000,8433888,83780
New York City FC,New York,NY,42000000,8390081,76565
New York Red Bulls,White Planes,NY,38000000,58141,76565
Real Salt Lake,Salt Lake City,UT,22000000,200435,52150
Vancouver Whitecaps,Vancouver,BC,22000000,5039661,87600
